hotel_id,starRating,city,free_wifi,pool_access,free_breakfast
e2733e84102226acf6b53bffd2e60cf8,0.0,bali,YES,NO,NO
9f9de5df06d64ada1026e930687a87e4,0.0,bali,YES,NO,NO
3cf6774fb4dc331bb49e7a959b74a67e,0.0,bali,YES,NO,NO
eca261898220478834072b0c753a5229,0.0,bali,YES,NO,NO
c21f400013fa4f244a7168a3c155b8b5,0.0,bali,YES,NO,NO
25d2506ec86a00e557b8abfab2efcc48,0.0,bali,YES,NO,NO
92f1bc0c657f6fa33ef2e5e912c83447,0.0,bali,YES,NO,NO
43e651db43cb785f8e87a1f6dcb9f1a3,0.0,bali,YES,NO,NO
8bed6ebe40bc79fb415d5476d56db52b,0.0,bali,YES,NO,NO
587d86081f4614e7da4d5c2ab05dbcf6,0.0,bali,YES,NO,NO
a286bd6267873735fc3b5d6976d1ceab,0.0,bali,YES,NO,NO
ce5f4b5927669e8f932f07007d5adc3a,0.0,bali,YES,NO,NO
dc51a8785a700b941de90127ce04ca4a,0.0,bali,YES,NO,NO
81d25409c308cbb94c3300bc449426bf,0.0,bali,YES,NO,NO
46e1498b1fc1c7ce3b71fd2813362c72,0.0,bali,YES,NO,NO
e77bb57e8d560e84b64d39f8e04e99f2,0.0,bali,YES,NO,NO
5cf3af1a17a118df9c064d16c066a3fb,0.0,bali,YES,NO,NO
8b2cf29fb7ced428da5f951218e384e9,0.0,bali,YES,NO,NO
3ca62d0e4742c7b62a08fa8fd58f8fa7,0.0,bali,YES,NO,NO
9068d310f2b7ae4528d743824fb17867,0.0,bali,YES,NO,NO
a226a6f5a8537a7f7a9cbd77300f8a57,0.0,bali,YES,NO,NO
28e4ccbc722b0fecd69d4270a9b02951,0.0,bali,YES,NO,NO
97971bc2e4a65c1baa56369a7797229f,0.0,bali,YES,NO,NO
577035de7f16ea3efc9defb1efe59726,0.0,bali,YES,NO,NO
f915f3d015a01db9d04a8ef1a4dd230f,0.0,bali,YES,NO,NO
c3dbbc0e289bfcade5282cbac3467de8,0.0,bali,YES,NO,NO
a96b189cf6d2d7920d831b74c2f93217,0.0,bali,YES,NO,NO
8952868f7167f1789cc00dc62a2489ab,0.0,bali,YES,NO,NO
87f0617216bd583332f59e94cd2f7cc8,0.0,bali,YES,NO,NO
32f8c986f7660057b8193546240a2a72,0.0,bali,YES,NO,NO
516d5dd25c861aad22fab219f147f6b0,0.0,bali,YES,NO,NO
0c5f30fcdc013b4909b26f5e53e0dee4,0.0,bali,YES,NO,NO
5fcf7fbdf9fc4a42686872b9039e4c7b,0.0,bali,YES,NO,NO
d1ebb445a6eb6a42ff1f39377f917542,0.0,bali,YES,NO,NO
c2f8800b92ef574a4f5d8afbceecc25e,0.0,bali,YES,NO,NO
e5f815eac8b8568d06b0cd0eb4374c1e,0.0,bali,YES,NO,NO
